ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP
292780;Interior;Santa Cruz Da Vitória;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
292790;Interior;Santa Inês;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
292800;Interior;Santaluz;16º BPM - Serrinha;Nordeste;Sisal
292805;Interior;Santa Luzia;62ª CIPM - Camacan;Sul;Litoral Sul
292810;Interior;Santa Maria Da Vitória;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
292820;Interior;Santana;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
292830;Interior;Santanópolis;97ª CIPM - Irará;Leste;Portal do Sertão
292840;Interior;Santa Rita De Cássia;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande
292850;Interior;Santa Teresinha;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
292860;Interior;Santo Amaro;20ª CIPM - Santo Amaro;Recôncavo;Recôncavo
292870;Interior;Santo Antônio De Jesus;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
292880;Interior;Santo Estêvão;57ª CIPM - Santo Estevão;Leste;Portal do Sertão
292890;Interior;São Desidério;85ª CIPM - Luís Eduardo;Oeste;Bacia do Rio Grande
292895;Interior;São Domingos;16º BPM - Serrinha;Nordeste;Sisal
292900;Interior;São Félix;20ª CIPM - Santo Amaro;Recôncavo;Recôncavo
292905;Interior;São Félix Do Coribe;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
292910;Interior;São Felipe;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
292920;RMS;São Francisco Do Conde;10ª CIPM - Candeias;RMS;26 - Candeias
292925;Interior;São Gabriel;7º BPM - Irecê;Meio-Oeste;Irecê
292930;Interior;São Gonçalo Dos Campos;67ª CIPM - Feira de Santana;Leste;Portal do Sertão
292935;Interior;São José Da Vitória;62ª CIPM - Camacan;Sul;Litoral Sul
292937;Interior;São José Do Jacuípe;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
292940;Interior;São Miguel Das Matas;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá
292950;RMS;São Sebastião do Passé;10ª CIPM - Candeias;RMS;26 - Candeias
292960;Interior;Sapeaçu;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
292970;Interior;Sátiro Dias;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano
292975;Interior;Saubara;20ª CIPM - Santo Amaro;Recôncavo;Recôncavo
292980;Interior;Saúde;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
292990;Interior;Seabra;29ª CIPM - Seabra;Chapada;Chapada Diamantina
293000;Interior;Sebastião Laranjeiras;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
293010;Interior;Senhor Do Bonfim;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru
293015;Interior;Serra Do Ramalho;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
293020;Interior;Sento Sé;96ª CIPM - Sobradinho;Norte;Sertão do São Francisco
293030;Interior;Serra Dourada;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
293040;Interior;Serra Preta;98ª CIPM - Ipirá;Chapada;Bacia do Jacuípe
293050;Interior;Serrinha;16º BPM - Serrinha;Nordeste;Sisal
293060;Interior;Serrolândia;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
293070;RMS;Simões Filho;22ª CIPM - Simões Filho;RMS;24 - Simões Filho
293075;Interior;Sítio Do Mato;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
293076;Interior;Sítio Do Quinto;5º BPM - Euclides da Cunha;Nordeste;Semiárido
293077;Interior;Sobradinho;96ª CIPM - Sobradinho;Norte;Sertão do São Francisco
293080;Interior;Souto Soares;29ª CIPM - Seabra;Chapada;Chapada Diamantina
293090;Interior;Tabocas Do Brejo Velho;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
293100;Interior;Tanhaçu;24º BPM - Brumado;Sudoeste;Sertão Produtivo
293105;Interior;Tanque Novo;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo
293110;Interior;Tanquinho;65ª CIPM - Feira de Santana;Leste;Portal do Sertão
293120;Interior;Taperoá;33ª CIPM - Valença;Recôncavo;Baixo Sul
293130;Interior;Tapiramutá;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
293135;Interior;Teixeira De Freitas;87ª CIPM - Texeira de Freitas;Extremo Sul;Extremo Sul
293140;Interior;Teodoro Sampaio;97ª CIPM - Irará;Leste;Portal do Sertão
293150;Interior;Teofilândia;16º BPM - Serrinha;Nordeste;Sisal
293160;Interior;Teolândia;60ª CIPM - Gandu;Recôncavo;Baixo Sul
293170;Interior;Terra Nova;97ª CIPM - Irará;Leste;Portal do Sertão
293180;Interior;Tremedal;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
293190;Interior;Tucano;5º BPM - Euclides da Cunha;Nordeste;Semiárido
293200;Interior;Uauá;45ª CIPM - Curaçá;Norte;Sertão do São Francisco
293210;Interior;Ubaíra;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá
293220;Interior;Ubaitaba;61ª CIPM - Ubaitaba;Sul;Litoral Sul
293230;Interior;Ubatã;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
293240;Interior;Uibaí;7º BPM - Irecê;Meio-Oeste;Irecê
293245;Interior;Umburanas;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
293250;Interior;Una;71ª CIPM - Canavieiras;Sul;Litoral Sul
293260;Interior;Urandi;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
293270;Interior;Uruçuca;72ª CIPM - Itacaré;Sul;Litoral Sul
293280;Interior;Utinga;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
293290;Interior;Valença;33ª CIPM - Valença;Recôncavo;Baixo Sul
293300;Interior;Valente;16º BPM - Serrinha;Nordeste;Sisal
293305;Interior;Várzea Da Roça;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
293310;Interior;Várzea Do Poço;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
293315;Interior;Várzea Nova;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
293317;Interior;Varzedo;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
293320;RMS;Vera Cruz;23º BPM - Vera Cruz;Recôncavo;Recôncavo
293325;Interior;Vereda;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul
293330;Interior;Vitória Da Conquista;77ª, 78ª e 92ª CIPM - Vitória da Conquista;Sudoeste;Sudoeste Baiano
293340;Interior;Wagner;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
293345;Interior;Wanderley;84ª CIPM - Barreiras;Oeste;Bacia do Rio Grande
293350;Interior;Wenceslau Guimarães;60ª CIPM - Gandu;Recôncavo;Baixo Sul
293360;Interior;Xique-Xique;7º BPM - Irecê;Meio-Oeste;Irecê
